sending_facility,sending_facility_oid
Family Practice Group,2.16.840.1.113883.19.1.5131-10726-1251
Family Practice Group Lab,2.16.840.1.113883.19.1.5131-10726-1251
"*Rogue Valley Urology, PC",2.16.840.1.113883.19.1.5131-36526-8851
"Rogue Valley Urology, PC",2.16.840.1.113883.19.1.5131-36526-8851
"PRAXIS MEDICAL GROUP, P.C.",2.16.840.1.113883.3.140.1.70855.4.GTXR
"Oregon Ear, Nose and Throat Center",2.16.840.1.113883.19.1.5131-12406-1404
Celilo Cancer Center,1.2.840.114350.1.13.135.2.7.2.696570.31
Columbia Crest Pediatrics,1.2.840.114350.1.13.135.2.7.2.696570.31
"Klamath Health Partnership, Inc",2.16.840.1.113883.3.441.1.50.98045
Medford Medical Clinic,
Southern Oregon Cardiology,2.16.840.1.113883.3.626.Southern Oregon Cardiology
Lisa Callahan CPNP,2.16.840.1.113883.3.441.1.50.98004
SOUTHERN OREGON CARDIOLOGY,2.16.840.1.113883.3.626.SOUTHERN OREGON CARDIOLOGY
Rogue River Family Practice Clinic,2.16.840.1.113883.3.441.1.50.98003
Oak Street Health Care Center,2.16.840.1.113883.3.441.1.50.98031
Heather Kahn MD PC,2.16.840.1.113883.3.441.1.50.98014
Millette Family Medicine,2.16.840.1.113883.3.441.1.50.98007
Karen Hoskins MSN FNP C PC,2.16.840.1.113883.3.441.1.50.98018
Mountainview Family Practice,2.16.840.1.113883.3.441.1.50.98005
Applegate Valley Family Medicine,2.16.840.1.113883.3.441.1.50.98030
The Children's Clinic of Klamath,2.16.840.1.113883.3.441.1.50.950200
River Rock Family Practice PC,2.16.840.1.113883.3.441.1.50.98046
Bogard Family and Sports Medicine,2.16.840.1.113883.3.441.1.50.98050
"Grants Pass Family Medicine, PC",2.16.840.1.113883.3.441.1.50.98044
Josephine County Public Health,2.16.840.1.113883.3.441.1.50.98043
Judith A King MN FNP PC,2.16.840.1.113883.3.441.1.50.98015
Valley Immediate Care South Medford ,
Valley Immediate Care North Medford ,
Valley Immediate Care GP Occ. Health,
Valley Immediate Care South Occ. Health,
Valley Immediate Care  Ashland,
Valley Immediate Care Grants Pass ,
Valley Immediate Care Central Occ Health,
Rogue Valley Physicians PC,2.16.840.1.113883.3.6392.0001
Rogue Community Health Medford,1.2.840.114350.1.13.66.2.7.2.696570.34
Rogue Community Health White City,1.2.840.114350.1.13.66.2.7.2.696570.34
LCDV Phoenix Hlth Ctr,1.2.840.114350.1.13.66.2.7.2.696570.30
Women's Health Center,1.2.840.114350.1.13.66.2.7.2.696570.30
ONE COMMUNITY HEALTH,1.2.840.114350.1.13.66.2.7.2.696570.68
Phoenix Health Center,1.2.840.114350.1.13.66.2.7.2.696570.30
Mobile Health Center,1.2.840.114350.1.13.66.2.7.2.696570.30
Wellness Center,1.2.840.114350.1.13.66.2.7.2.696570.30
Rogue Community Health Ashland,1.2.840.114350.1.13.66.2.7.2.696570.34
Birch Grove Health Center,1.2.840.114350.1.13.66.2.7.2.696570.30
West Medford Health Center,1.2.840.114350.1.13.66.2.7.2.696570.30
Central Point Health Center,1.2.840.114350.1.13.66.2.7.2.696570.30
RCH PROSPECT CLINIC,1.2.840.114350.1.13.66.2.7.2.696570.34
"La Clinica Del Valle Family Health Center, Inc.",1.2.840.114350.1.13.66.2.7.2.696570.30
Rogue Community Health,1.2.840.114350.1.13.66.2.7.2.696570.34
LCDV Dental Clinic,1.2.840.114350.1.13.66.2.7.2.696570.30
SBHC Mae Richardson Elementary,1.2.840.114350.1.13.66.2.7.2.696570.30
RCH Butte Falls School Based Health Center,1.2.840.114350.1.13.66.2.7.2.696570.34
LCDV SBHC SCENIC MIDDLE SCHOOL,1.2.840.114350.1.13.66.2.7.2.696570.30
SBHC Central Point Elementary,1.2.840.114350.1.13.66.2.7.2.696570.30
One Community Hlth HRVHS,1.2.840.114350.1.13.66.2.7.2.696570.68
RCH Ashland School Based Health Center,1.2.840.114350.1.13.66.2.7.2.696570.34
LCDV SBHC CRATER HIGH SCHOOL,1.2.840.114350.1.13.66.2.7.2.696570.30
LCDV SBHC Jewett,1.2.840.114350.1.13.66.2.7.2.696570.30
RCH Eagle Point SH,1.2.840.114350.1.13.66.2.7.2.696570.34
LA CLINICA EAST MEDFORD DENTAL CLINIC,1.2.840.114350.1.13.66.2.7.2.696570.30
Family &amp; Women's Health Center,1.2.840.114350.1.13.66.2.7.2.696570.30
RCH Table Rock SBHC,1.2.840.114350.1.13.66.2.7.2.696570.34
Providence Medical Group Cascade,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Psychiatry West,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Scholls Internal Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence ElderPlace in Gresham,1.2.840.114350.1.13.297.2.7.2.696570.40
